,sentence,bigrams,trigrams
0,نموت علي اكل تونسي محرحر ,"[('نموت', 'علي'), ('علي', 'اكل'), ('اكل', 'تونسي'), ('تونسي', 'محرحر'), ('محرحر', '')]","[('نموت', 'علي', 'اكل'), ('علي', 'اكل', 'تونسي'), ('اكل', 'تونسي', 'محرحر'), ('تونسي', 'محرحر', '')]"
1,شعب هريسه اثبت وجود ,"[('شعب', 'هريسه'), ('هريسه', 'اثبت'), ('اثبت', 'وجود'), ('وجود', '')]","[('شعب', 'هريسه', 'اثبت'), ('هريسه', 'اثبت', 'وجود'), ('اثبت', 'وجود', '')]"
2,انا فلسطي بفتخر انو تونس عرب مثلي تحيه لبلد رائع فوق راسي انتو,"[('انا', 'فلسطي'), ('فلسطي', 'بفتخر'), ('بفتخر', 'انو'), ('انو', 'تونس'), ('تونس', 'عرب'), ('عرب', 'مثلي'), ('مثلي', 'تحيه'), ('تحيه', 'لبلد'), ('لبلد', 'رائع'), ('رائع', 'فوق'), ('فوق', 'راسي'), ('راسي', 'انتو')]","[('انا', 'فلسطي', 'بفتخر'), ('فلسطي', 'بفتخر', 'انو'), ('بفتخر', 'انو', 'تونس'), ('انو', 'تونس', 'عرب'), ('تونس', 'عرب', 'مثلي'), ('عرب', 'مثلي', 'تحيه'), ('مثلي', 'تحيه', 'لبلد'), ('تحيه', 'لبلد', 'رائع'), ('لبلد', 'رائع', 'فوق'), ('رائع', 'فوق', 'راسي'), ('فوق', 'راسي', 'انتو')]"
3,والله اطيب واذكي شعب ومضياف وشعب راقي تونس بوابه اور والله اني مشتاق لبلابى في برد هذا,"[('والله', 'اطيب'), ('اطيب', 'واذكي'), ('واذكي', 'شعب'), ('شعب', 'ومضياف'), ('ومضياف', 'وشعب'), ('وشعب', 'راقي'), ('راقي', 'تونس'), ('تونس', 'بوابه'), ('بوابه', 'اور'), ('اور', 'والله'), ('والله', 'اني'), ('اني', 'مشتاق'), ('مشتاق', 'لبلابى'), ('لبلابى', 'في'), ('في', 'برد'), ('برد', 'هذا')]","[('والله', 'اطيب', 'واذكي'), ('اطيب', 'واذكي', 'شعب'), ('واذكي', 'شعب', 'ومضياف'), ('شعب', 'ومضياف', 'وشعب'), ('ومضياف', 'وشعب', 'راقي'), ('وشعب', 'راقي', 'تونس'), ('راقي', 'تونس', 'بوابه'), ('تونس', 'بوابه', 'اور'), ('بوابه', 'اور', 'والله'), ('اور', 'والله', 'اني'), ('والله', 'اني', 'مشتاق'), ('اني', 'مشتاق', 'لبلابى'), ('مشتاق', 'لبلابى', 'في'), ('لبلابى', 'في', 'برد'), ('في', 'برد', 'هذا')]"
4,والله هذا شاب تونسي رجال  وكريم وطيب و ابن ناس واهله طيب وحبوب وكرماء من مدينه منوره و اتشرف فيهم وبضيافت عندي في بيت واكل و شرب و مواصل من اول ما يوصل الين مغادره  وعين لحاف والله,"[('والله', 'هذا'), ('هذا', 'شاب'), ('شاب', 'تونسي'), ('تونسي', 'رجال'), ('رجال', ''), ('', 'وكريم'), ('وكريم', 'وطيب'), ('وطيب', 'و'), ('و', 'ابن'), ('ابن', 'ناس'), ('ناس', 'واهله'), ('واهله', 'طيب'), ('طيب', 'وحبوب'), ('وحبوب', 'وكرماء'), ('وكرماء', 'من'), ('من', 'مدينه'), ('مدينه', 'منوره'), ('منوره', 'و'), ('و', 'اتشرف'), ('اتشرف', 'فيهم'), ('فيهم', 'وبضيافت'), ('وبضيافت', 'عندي'), ('عندي', 'في'), ('في', 'بيت'), ('بيت', 'واكل'), ('واكل', 'و'), ('و', 'شرب'), ('شرب', 'و'), ('و', 'مواصل'), ('مواصل', 'من'), ('من', 'اول'), ('اول', 'ما'), ('ما', 'يوصل'), ('يوصل', 'الين'), ('الين', 'مغادره'), ('مغادره', ''), ('', 'وعين'), ('وعين', 'لحاف'), ('لحاف', 'والله')]","[('والله', 'هذا', 'شاب'), ('هذا', 'شاب', 'تونسي'), ('شاب', 'تونسي', 'رجال'), ('تونسي', 'رجال', ''), ('رجال', '', 'وكريم'), ('', 'وكريم', 'وطيب'), ('وكريم', 'وطيب', 'و'), ('وطيب', 'و', 'ابن'), ('و', 'ابن', 'ناس'), ('ابن', 'ناس', 'واهله'), ('ناس', 'واهله', 'طيب'), ('واهله', 'طيب', 'وحبوب'), ('طيب', 'وحبوب', 'وكرماء'), ('وحبوب', 'وكرماء', 'من'), ('وكرماء', 'من', 'مدينه'), ('من', 'مدينه', 'منوره'), ('مدينه', 'منوره', 'و'), ('منوره', 'و', 'اتشرف'), ('و', 'اتشرف', 'فيهم'), ('اتشرف', 'فيهم', 'وبضيافت'), ('فيهم', 'وبضيافت', 'عندي'), ('وبضيافت', 'عندي', 'في'), ('عندي', 'في', 'بيت'), ('في', 'بيت', 'واكل'), ('بيت', 'واكل', 'و'), ('واكل', 'و', 'شرب'), ('و', 'شرب', 'و'), ('شرب', 'و', 'مواصل'), ('و', 'مواصل', 'من'), ('مواصل', 'من', 'اول'), ('من', 'اول', 'ما'), ('اول', 'ما', 'يوصل'), ('ما', 'يوصل', 'الين'), ('يوصل', 'الين', 'مغادره'), ('الين', 'مغادره', ''), ('مغادره', '', 'وعين'), ('', 'وعين', 'لحاف'), ('وعين', 'لحاف', 'والله')]"
5,كل جزائري يعتبر ان تونس بلاد تاتي و لي هدا كي كانت تونس تعاني من ارهاب لقت غير جزائري لي دهب و كلهم لي تونس لي يحسو سياحه و لي يعط ضرص الي ارهابي ان جزائري لا يقبل ان تتعدو علي تونسا,"[('كل', 'جزائري'), ('جزائري', 'يعتبر'), ('يعتبر', 'ان'), ('ان', 'تونس'), ('تونس', 'بلاد'), ('بلاد', 'تاتي'), ('تاتي', 'و'), ('و', 'لي'), ('لي', 'هدا'), ('هدا', 'كي'), ('كي', 'كانت'), ('كانت', 'تونس'), ('تونس', 'تعاني'), ('تعاني', 'من'), ('من', 'ارهاب'), ('ارهاب', 'لقت'), ('لقت', 'غير'), ('غير', 'جزائري'), ('جزائري', 'لي'), ('لي', 'دهب'), ('دهب', 'و'), ('و', 'كلهم'), ('كلهم', 'لي'), ('لي', 'تونس'), ('تونس', 'لي'), ('لي', 'يحسو'), ('يحسو', 'سياحه'), ('سياحه', 'و'), ('و', 'لي'), ('لي', 'يعط'), ('يعط', 'ضرص'), ('ضرص', 'الي'), ('الي', 'ارهابي'), ('ارهابي', 'ان'), ('ان', 'جزائري'), ('جزائري', 'لا'), ('لا', 'يقبل'), ('يقبل', 'ان'), ('ان', 'تتعدو'), ('تتعدو', 'علي'), ('علي', 'تونسا')]","[('كل', 'جزائري', 'يعتبر'), ('جزائري', 'يعتبر', 'ان'), ('يعتبر', 'ان', 'تونس'), ('ان', 'تونس', 'بلاد'), ('تونس', 'بلاد', 'تاتي'), ('بلاد', 'تاتي', 'و'), ('تاتي', 'و', 'لي'), ('و', 'لي', 'هدا'), ('لي', 'هدا', 'كي'), ('هدا', 'كي', 'كانت'), ('كي', 'كانت', 'تونس'), ('كانت', 'تونس', 'تعاني'), ('تونس', 'تعاني', 'من'), ('تعاني', 'من', 'ارهاب'), ('من', 'ارهاب', 'لقت'), ('ارهاب', 'لقت', 'غير'), ('لقت', 'غير', 'جزائري'), ('غير', 'جزائري', 'لي'), ('جزائري', 'لي', 'دهب'), ('لي', 'دهب', 'و'), ('دهب', 'و', 'كلهم'), ('و', 'كلهم', 'لي'), ('كلهم', 'لي', 'تونس'), ('لي', 'تونس', 'لي'), ('تونس', 'لي', 'يحسو'), ('لي', 'يحسو', 'سياحه'), ('يحسو', 'سياحه', 'و'), ('سياحه', 'و', 'لي'), ('و', 'لي', 'يعط'), ('لي', 'يعط', 'ضرص'), ('يعط', 'ضرص', 'الي'), ('ضرص', 'الي', 'ارهابي'), ('الي', 'ارهابي', 'ان'), ('ارهابي', 'ان', 'جزائري'), ('ان', 'جزائري', 'لا'), ('جزائري', 'لا', 'يقبل'), ('لا', 'يقبل', 'ان'), ('يقبل', 'ان', 'تتعدو'), ('ان', 'تتعدو', 'علي'), ('تتعدو', 'علي', 'تونسا')]"
6,اكل تونسي طيب مثل ناس يدخلو قلب  كل الحب من جزائر,"[('اكل', 'تونسي'), ('تونسي', 'طيب'), ('طيب', 'مثل'), ('مثل', 'ناس'), ('ناس', 'يدخلو'), ('يدخلو', 'قلب'), ('قلب', ''), ('', 'كل'), ('كل', 'الحب'), ('الحب', 'من'), ('من', 'جزائر')]","[('اكل', 'تونسي', 'طيب'), ('تونسي', 'طيب', 'مثل'), ('طيب', 'مثل', 'ناس'), ('مثل', 'ناس', 'يدخلو'), ('ناس', 'يدخلو', 'قلب'), ('يدخلو', 'قلب', ''), ('قلب', '', 'كل'), ('', 'كل', 'الحب'), ('كل', 'الحب', 'من'), ('الحب', 'من', 'جزائر')]"
7,من جزائر والله اعرف تونس من اجمل دول عربيه و عند حضاره تاريخ عمر قيروان قرطاج جامع زيتونه مسجد عقب ابن نافع و سيدي بوسعيد و حمام و سوسا و نابل  والله لكان بلاد عربيه احسن من تونس ولا ننسا جربا ملديف عرب,"[('من', 'جزائر'), ('جزائر', 'والله'), ('والله', 'اعرف'), ('اعرف', 'تونس'), ('تونس', 'من'), ('من', 'اجمل'), ('اجمل', 'دول'), ('دول', 'عربيه'), ('عربيه', 'و'), ('و', 'عند'), ('عند', 'حضاره'), ('حضاره', 'تاريخ'), ('تاريخ', 'عمر'), ('عمر', 'قيروان'), ('قيروان', 'قرطاج'), ('قرطاج', 'جامع'), ('جامع', 'زيتونه'), ('زيتونه', 'مسجد'), ('مسجد', 'عقب'), ('عقب', 'ابن'), ('ابن', 'نافع'), ('نافع', 'و'), ('و', 'سيدي'), ('سيدي', 'بوسعيد'), ('بوسعيد', 'و'), ('و', 'حمام'), ('حمام', 'و'), ('و', 'سوسا'), ('سوسا', 'و'), ('و', 'نابل'), ('نابل', ''), ('', 'والله'), ('والله', 'لكان'), ('لكان', 'بلاد'), ('بلاد', 'عربيه'), ('عربيه', 'احسن'), ('احسن', 'من'), ('من', 'تونس'), ('تونس', 'ولا'), ('ولا', 'ننسا'), ('ننسا', 'جربا'), ('جربا', 'ملديف'), ('ملديف', 'عرب')]","[('من', 'جزائر', 'والله'), ('جزائر', 'والله', 'اعرف'), ('والله', 'اعرف', 'تونس'), ('اعرف', 'تونس', 'من'), ('تونس', 'من', 'اجمل'), ('من', 'اجمل', 'دول'), ('اجمل', 'دول', 'عربيه'), ('دول', 'عربيه', 'و'), ('عربيه', 'و', 'عند'), ('و', 'عند', 'حضاره'), ('عند', 'حضاره', 'تاريخ'), ('حضاره', 'تاريخ', 'عمر'), ('تاريخ', 'عمر', 'قيروان'), ('عمر', 'قيروان', 'قرطاج'), ('قيروان', 'قرطاج', 'جامع'), ('قرطاج', 'جامع', 'زيتونه'), ('جامع', 'زيتونه', 'مسجد'), ('زيتونه', 'مسجد', 'عقب'), ('مسجد', 'عقب', 'ابن'), ('عقب', 'ابن', 'نافع'), ('ابن', 'نافع', 'و'), ('نافع', 'و', 'سيدي'), ('و', 'سيدي', 'بوسعيد'), ('سيدي', 'بوسعيد', 'و'), ('بوسعيد', 'و', 'حمام'), ('و', 'حمام', 'و'), ('حمام', 'و', 'سوسا'), ('و', 'سوسا', 'و'), ('سوسا', 'و', 'نابل'), ('و', 'نابل', ''), ('نابل', '', 'والله'), ('', 'والله', 'لكان'), ('والله', 'لكان', 'بلاد'), ('لكان', 'بلاد', 'عربيه'), ('بلاد', 'عربيه', 'احسن'), ('عربيه', 'احسن', 'من'), ('احسن', 'من', 'تونس'), ('من', 'تونس', 'ولا'), ('تونس', 'ولا', 'ننسا'), ('ولا', 'ننسا', 'جربا'), ('ننسا', 'جربا', 'ملديف'), ('جربا', 'ملديف', 'عرب')]"
8,اكل تونسي بنين يقتل اعلمت جارتي كريمه طبخ ملوخيه ولا اروع تهبل نموت عليها والله شهيتو بصحت والف تحيه شعب تونسي ,"[('اكل', 'تونسي'), ('تونسي', 'بنين'), ('بنين', 'يقتل'), ('يقتل', 'اعلمت'), ('اعلمت', 'جارتي'), ('جارتي', 'كريمه'), ('كريمه', 'طبخ'), ('طبخ', 'ملوخيه'), ('ملوخيه', 'ولا'), ('ولا', 'اروع'), ('اروع', 'تهبل'), ('تهبل', 'نموت'), ('نموت', 'عليها'), ('عليها', 'والله'), ('والله', 'شهيتو'), ('شهيتو', 'بصحت'), ('بصحت', 'والف'), ('والف', 'تحيه'), ('تحيه', 'شعب'), ('شعب', 'تونسي'), ('تونسي', '')]","[('اكل', 'تونسي', 'بنين'), ('تونسي', 'بنين', 'يقتل'), ('بنين', 'يقتل', 'اعلمت'), ('يقتل', 'اعلمت', 'جارتي'), ('اعلمت', 'جارتي', 'كريمه'), ('جارتي', 'كريمه', 'طبخ'), ('كريمه', 'طبخ', 'ملوخيه'), ('طبخ', 'ملوخيه', 'ولا'), ('ملوخيه', 'ولا', 'اروع'), ('ولا', 'اروع', 'تهبل'), ('اروع', 'تهبل', 'نموت'), ('تهبل', 'نموت', 'عليها'), ('نموت', 'عليها', 'والله'), ('عليها', 'والله', 'شهيتو'), ('والله', 'شهيتو', 'بصحت'), ('شهيتو', 'بصحت', 'والف'), ('بصحت', 'والف', 'تحيه'), ('والف', 'تحيه', 'شعب'), ('تحيه', 'شعب', 'تونسي'), ('شعب', 'تونسي', '')]"
9,انا من يمن و بعمري ما زرت تونس ولكن اعشق منذ صغر لا اعلم لماذا ولكن حب تونس متوغل في وجد,"[('انا', 'من'), ('من', 'يمن'), ('يمن', 'و'), ('و', 'بعمري'), ('بعمري', 'ما'), ('ما', 'زرت'), ('زرت', 'تونس'), ('تونس', 'ولكن'), ('ولكن', 'اعشق'), ('اعشق', 'منذ'), ('منذ', 'صغر'), ('صغر', 'لا'), ('لا', 'اعلم'), ('اعلم', 'لماذا'), ('لماذا', 'ولكن'), ('ولكن', 'حب'), ('حب', 'تونس'), ('تونس', 'متوغل'), ('متوغل', 'في'), ('في', 'وجد')]","[('انا', 'من', 'يمن'), ('من', 'يمن', 'و'), ('يمن', 'و', 'بعمري'), ('و', 'بعمري', 'ما'), ('بعمري', 'ما', 'زرت'), ('ما', 'زرت', 'تونس'), ('زرت', 'تونس', 'ولكن'), ('تونس', 'ولكن', 'اعشق'), ('ولكن', 'اعشق', 'منذ'), ('اعشق', 'منذ', 'صغر'), ('منذ', 'صغر', 'لا'), ('صغر', 'لا', 'اعلم'), ('لا', 'اعلم', 'لماذا'), ('اعلم', 'لماذا', 'ولكن'), ('لماذا', 'ولكن', 'حب'), ('ولكن', 'حب', 'تونس'), ('حب', 'تونس', 'متوغل'), ('تونس', 'متوغل', 'في'), ('متوغل', 'في', 'وجد')]"
