,sentence,bigrams
0,نموت علي اكل تونسي محرحر ,"[('نموت', 'علي'), ('علي', 'اكل'), ('اكل', 'تونسي'), ('تونسي', 'محرحر'), ('محرحر', '')]"
1,شعب هريسه اثبت وجود ,"[('شعب', 'هريسه'), ('هريسه', 'اثبت'), ('اثبت', 'وجود'), ('وجود', '')]"
2,انا فلسطي بفتخر انو تونس عرب مثلي تحيه لبلد رائع فوق راسي انتو,"[('انا', 'فلسطي'), ('فلسطي', 'بفتخر'), ('بفتخر', 'انو'), ('انو', 'تونس'), ('تونس', 'عرب'), ('عرب', 'مثلي'), ('مثلي', 'تحيه'), ('تحيه', 'لبلد'), ('لبلد', 'رائع'), ('رائع', 'فوق'), ('فوق', 'راسي'), ('راسي', 'انتو')]"
3,والله اطيب واذكي شعب ومضياف وشعب راقي تونس بوابه اور والله اني مشتاق لبلابى في برد هذا,"[('والله', 'اطيب'), ('اطيب', 'واذكي'), ('واذكي', 'شعب'), ('شعب', 'ومضياف'), ('ومضياف', 'وشعب'), ('وشعب', 'راقي'), ('راقي', 'تونس'), ('تونس', 'بوابه'), ('بوابه', 'اور'), ('اور', 'والله'), ('والله', 'اني'), ('اني', 'مشتاق'), ('مشتاق', 'لبلابى'), ('لبلابى', 'في'), ('في', 'برد'), ('برد', 'هذا')]"
4,والله هذا شاب تونسي رجال  وكريم وطيب و ابن ناس واهله طيب وحبوب وكرماء من مدينه منوره و اتشرف فيهم وبضيافت عندي في بيت واكل و شرب و مواصل من اول ما يوصل الين مغادره  وعين لحاف والله,"[('والله', 'هذا'), ('هذا', 'شاب'), ('شاب', 'تونسي'), ('تونسي', 'رجال'), ('رجال', ''), ('', 'وكريم'), ('وكريم', 'وطيب'), ('وطيب', 'و'), ('و', 'ابن'), ('ابن', 'ناس'), ('ناس', 'واهله'), ('واهله', 'طيب'), ('طيب', 'وحبوب'), ('وحبوب', 'وكرماء'), ('وكرماء', 'من'), ('من', 'مدينه'), ('مدينه', 'منوره'), ('منوره', 'و'), ('و', 'اتشرف'), ('اتشرف', 'فيهم'), ('فيهم', 'وبضيافت'), ('وبضيافت', 'عندي'), ('عندي', 'في'), ('في', 'بيت'), ('بيت', 'واكل'), ('واكل', 'و'), ('و', 'شرب'), ('شرب', 'و'), ('و', 'مواصل'), ('مواصل', 'من'), ('من', 'اول'), ('اول', 'ما'), ('ما', 'يوصل'), ('يوصل', 'الين'), ('الين', 'مغادره'), ('مغادره', ''), ('', 'وعين'), ('وعين', 'لحاف'), ('لحاف', 'والله')]"
5,كل جزائري يعتبر ان تونس بلاد تاتي و لي هدا كي كانت تونس تعاني من ارهاب لقت غير جزائري لي دهب و كلهم لي تونس لي يحسو سياحه و لي يعط ضرص الي ارهابي ان جزائري لا يقبل ان تتعدو علي تونسا,"[('كل', 'جزائري'), ('جزائري', 'يعتبر'), ('يعتبر', 'ان'), ('ان', 'تونس'), ('تونس', 'بلاد'), ('بلاد', 'تاتي'), ('تاتي', 'و'), ('و', 'لي'), ('لي', 'هدا'), ('هدا', 'كي'), ('كي', 'كانت'), ('كانت', 'تونس'), ('تونس', 'تعاني'), ('تعاني', 'من'), ('من', 'ارهاب'), ('ارهاب', 'لقت'), ('لقت', 'غير'), ('غير', 'جزائري'), ('جزائري', 'لي'), ('لي', 'دهب'), ('دهب', 'و'), ('و', 'كلهم'), ('كلهم', 'لي'), ('لي', 'تونس'), ('تونس', 'لي'), ('لي', 'يحسو'), ('يحسو', 'سياحه'), ('سياحه', 'و'), ('و', 'لي'), ('لي', 'يعط'), ('يعط', 'ضرص'), ('ضرص', 'الي'), ('الي', 'ارهابي'), ('ارهابي', 'ان'), ('ان', 'جزائري'), ('جزائري', 'لا'), ('لا', 'يقبل'), ('يقبل', 'ان'), ('ان', 'تتعدو'), ('تتعدو', 'علي'), ('علي', 'تونسا')]"
6,اكل تونسي طيب مثل ناس يدخلو قلب  كل الحب من جزائر,"[('اكل', 'تونسي'), ('تونسي', 'طيب'), ('طيب', 'مثل'), ('مثل', 'ناس'), ('ناس', 'يدخلو'), ('يدخلو', 'قلب'), ('قلب', ''), ('', 'كل'), ('كل', 'الحب'), ('الحب', 'من'), ('من', 'جزائر')]"
7,من جزائر والله اعرف تونس من اجمل دول عربيه و عند حضاره تاريخ عمر قيروان قرطاج جامع زيتونه مسجد عقب ابن نافع و سيدي بوسعيد و حمام و سوسا و نابل  والله لكان بلاد عربيه احسن من تونس ولا ننسا جربا ملديف عرب,"[('من', 'جزائر'), ('جزائر', 'والله'), ('والله', 'اعرف'), ('اعرف', 'تونس'), ('تونس', 'من'), ('من', 'اجمل'), ('اجمل', 'دول'), ('دول', 'عربيه'), ('عربيه', 'و'), ('و', 'عند'), ('عند', 'حضاره'), ('حضاره', 'تاريخ'), ('تاريخ', 'عمر'), ('عمر', 'قيروان'), ('قيروان', 'قرطاج'), ('قرطاج', 'جامع'), ('جامع', 'زيتونه'), ('زيتونه', 'مسجد'), ('مسجد', 'عقب'), ('عقب', 'ابن'), ('ابن', 'نافع'), ('نافع', 'و'), ('و', 'سيدي'), ('سيدي', 'بوسعيد'), ('بوسعيد', 'و'), ('و', 'حمام'), ('حمام', 'و'), ('و', 'سوسا'), ('سوسا', 'و'), ('و', 'نابل'), ('نابل', ''), ('', 'والله'), ('والله', 'لكان'), ('لكان', 'بلاد'), ('بلاد', 'عربيه'), ('عربيه', 'احسن'), ('احسن', 'من'), ('من', 'تونس'), ('تونس', 'ولا'), ('ولا', 'ننسا'), ('ننسا', 'جربا'), ('جربا', 'ملديف'), ('ملديف', 'عرب')]"
8,اكل تونسي بنين يقتل اعلمت جارتي كريمه طبخ ملوخيه ولا اروع تهبل نموت عليها والله شهيتو بصحت والف تحيه شعب تونسي ,"[('اكل', 'تونسي'), ('تونسي', 'بنين'), ('بنين', 'يقتل'), ('يقتل', 'اعلمت'), ('اعلمت', 'جارتي'), ('جارتي', 'كريمه'), ('كريمه', 'طبخ'), ('طبخ', 'ملوخيه'), ('ملوخيه', 'ولا'), ('ولا', 'اروع'), ('اروع', 'تهبل'), ('تهبل', 'نموت'), ('نموت', 'عليها'), ('عليها', 'والله'), ('والله', 'شهيتو'), ('شهيتو', 'بصحت'), ('بصحت', 'والف'), ('والف', 'تحيه'), ('تحيه', 'شعب'), ('شعب', 'تونسي'), ('تونسي', '')]"
9,انا من يمن و بعمري ما زرت تونس ولكن اعشق منذ صغر لا اعلم لماذا ولكن حب تونس متوغل في وجد,"[('انا', 'من'), ('من', 'يمن'), ('يمن', 'و'), ('و', 'بعمري'), ('بعمري', 'ما'), ('ما', 'زرت'), ('زرت', 'تونس'), ('تونس', 'ولكن'), ('ولكن', 'اعشق'), ('اعشق', 'منذ'), ('منذ', 'صغر'), ('صغر', 'لا'), ('لا', 'اعلم'), ('اعلم', 'لماذا'), ('لماذا', 'ولكن'), ('ولكن', 'حب'), ('حب', 'تونس'), ('تونس', 'متوغل'), ('متوغل', 'في'), ('في', 'وجد')]"
